Country.of.Origin,CountryID
Ethiopia,1
Peru,2
antioquia,3
China,4
Costa Rica,5
Mexico,6
Brazil,7
Uganda,8
Taiwan,9
Kenya,10
United States (Hawaii),11
Thailand,12
Colombia,13
Guatemala,14
Panama,15
El Salvador,16
Indonesia,17
"Tanzania, United Republic Of",18
Honduras,19
Japan,20
Nicaragua,21
United States (Puerto Rico),22
Haiti,23
Burundi,24
Vietnam,25
Philippines,26
Rwanda,27
berastagi,28
Malawi,29
Laos,30
Zambia,31
Myanmar,32
central america,33
India,34
chikmagalur,35
