Farm.Name,Altitude,Region,altitude_low_meters,altitude_high_meters,altitude_mean_meters,FarmID
moplaco,1830.9876708757638,yirgacheffe,1900.0,1900.0,1900.0,78
finca salaca las brisas,1830.9876708757638,costa rica,1750.0,1750.0,1750.0,79
various,1830.9876708757638,west valley,1200.0,1200.0,1200.0,80
dragon 龍咖啡,1830.9876708757638,taichung xinshe 台中市新社區,1000.0,1000.0,1000.0,81
Unknown,1830.9876708757638,nyeri,2000.0,2000.0,2000.0,82
agropecuaria quiagral,1830.9876708757638,oriente,1310.64,1310.64,1310.64,83
"el nogal, la higuera, los laureles",1830.9876708757638,el remudadero,1200.0,1200.0,1200.0,84
Unknown,1830.9876708757638,mbale,1700.0,1850.0,1775.0,85
Unknown,1830.9876708757638,santander,1500.0,1500.0,1500.0,86
blend,1830.9876708757638,nyeri,1800.0,1800.0,1800.0,87
el morito,1830.9876708757638,jalapa,1524.0,1524.0,1524.0,88
el papaturro,1830.9876708757638,oriente,1219.2,1219.2,1219.2,89
Unknown,1830.9876708757638,huila,1600.0,1900.0,1750.0,90
Unknown,1830.9876708757638,Kenya,1812.3495975560081,1849.6257441955195,1830.9876708757638,91
Unknown,1830.9876708757638,huila,1750.0,1750.0,1750.0,92
la chaparral,1830.9876708757638,tres rios,1450.0,1700.0,1575.0,93
various,1830.9876708757638,huila,1800.0,1800.0,1800.0,94
fazenda vista alegre,1830.9876708757638,mountains of minas gerais,1100.0,1100.0,1100.0,95
Unknown,1830.9876708757638,valle central,1200.0,1200.0,1200.0,96
kawacom sipi project,1830.9876708757638,eastern uganda,1750.0,1750.0,1750.0,97
menglian ban’an coffee processing factory,1830.9876708757638,yunnan,1680.0,1680.0,1680.0,98
coopetarrazú,1830.9876708757638,tarrazu,1700.0,1700.0,1700.0,99
Unknown,1830.9876708757638,cauca,1800.0,1800.0,1800.0,100
"puer jiangcheng fuwang coffee biotechnology co., ltd",1830.9876708757638,yunnan,1100.0,1100.0,1100.0,101
el sacramento,1830.9876708757638,oriente,1310.64,1310.64,1310.64,102
rumukia farmers,1830.9876708757638,nyeri,2000.0,2000.0,2000.0,103
la barranca,1830.9876708757638,hustusco,1350.0,1350.0,1350.0,104
finca el retiro,1830.9876708757638,jaltenango,1500.0,1500.0,1500.0,105
nueva granada,1830.9876708757638,"el tumbador, san marcos",1812.3495975560081,1849.6257441955195,1830.9876708757638,106
several farmers,1830.9876708757638,tarrazu,1300.0,1300.0,1300.0,107
darmawi,1830.9876708757638,sumatra brastagi,1400.0,1400.0,1400.0,108
Unknown,1830.9876708757638,pitalito,1812.3495975560081,1849.6257441955195,1830.9876708757638,109
tropica galliard,1830.9876708757638,"mountain ali, taiwan",1200.0,1200.0,1200.0,110
finca la chiripa,1830.9876708757638,tapachula,900.0,900.0,900.0,111
kigwandi,1830.9876708757638,nyeri,1800.0,1800.0,1800.0,112
los hicaques,1830.9876708757638,central region,1500.0,1500.0,1500.0,113
Unknown,1830.9876708757638,huila,442.0,442.0,442.0,114
la distancia,1830.9876708757638,tuxtla gutierrez,1700.0,1700.0,1700.0,115
馨晴咖啡 good mood coffee,1830.9876708757638,國姓鄉 guoshing township,1000.0,1000.0,1000.0,116
matsuzawa coffee,1830.9876708757638,chiang rai thailand,1200.0,1200.0,1200.0,117
Unknown,1830.9876708757638,nariño,2560.0,2560.0,2560.0,118
finca medina,1830.9876708757638,antigua,1500.0,1500.0,1500.0,119
finca san vicente,1830.9876708757638,huehuetenango,1099.4136,1099.4136,1099.4136,120
menglian county nayun town mangzhang coffee farm,1830.9876708757638,yunnan,1400.0,1400.0,1400.0,121
jacksom mwasenga,1830.9876708757638,shizingo village,1620.0,1620.0,1620.0,122
suma jkt itende,1830.9876708757638,mbeya,1600.0,1600.0,1600.0,123
Unknown,1830.9876708757638,cauca,1700.0,1700.0,1700.0,124
pante carajillo,1830.9876708757638,san pedro cotzilnam,1450.0,1450.0,1450.0,125
finca los barreales,1830.9876708757638,veracruz,1170.0,1170.0,1170.0,126
finca santa teresa,1830.9876708757638,"la concordia, chiapas",1400.0,1400.0,1400.0,127
Unknown,1830.9876708757638,kasese,1700.0,1700.0,1700.0,128
piamonte,1830.9876708757638,san marcos,1700.0,1700.0,1700.0,129
los girasoles,1830.9876708757638,tarrazu,1700.0,1700.0,1700.0,130
finca la joya,1830.9876708757638,huehuetenango,1116.7872,1116.7872,1116.7872,131
santo tomas pachuj,1830.9876708757638,solola,1565.0,1565.0,1565.0,132
chapultepec,1830.9876708757638,norte,3280.0,3280.0,3280.0,133
las nubes,1830.9876708757638,jinotega,900.0,1100.0,1000.0,134
pantano,1830.9876708757638,cerrado,1150.0,1150.0,1150.0,135
gamboa,1830.9876708757638,tarrazu,1850.0,1850.0,1850.0,136
asefa dukamo coffee plantation,1830.9876708757638,snnprg; kafa; telo woreda; shada kebele,1545.0,1668.0,1606.5,137
selian coffee estate,1830.9876708757638,arusha,1400.0,1400.0,1400.0,138
Unknown,1830.9876708757638,huila,1530.0,1530.0,1530.0,139
Unknown,1830.9876708757638,kenya,1.0,500.0,250.5,140
café do paraíso,1830.9876708757638,"minas gerais, br",894.0,1183.0,1038.5,141
la union monte verde,1830.9876708757638,oriente,1310.64,1310.64,1310.64,142
el limon,1830.9876708757638,guatemala,1812.3495975560081,1849.6257441955195,1830.9876708757638,143
Unknown,1830.9876708757638,mt. rwenzori,1500.0,1700.0,1600.0,144
"mus, eman",1830.9876708757638,aceh tengah,1812.3495975560081,1849.6257441955195,1830.9876708757638,145
chang yu liang 張玉良,1830.9876708757638,"nanxi dist., tainan city 臺南市楠西區",968.0,968.0,968.0,146
la esperanza y anexos,1830.9876708757638,oriente,1812.3495975560081,1849.6257441955195,1830.9876708757638,147
aprocafi,1830.9876708757638,"aldea xeucalvitz, ixil region, quiche department",1550.0,1550.0,1550.0,148
la lagunilla,1830.9876708757638,santo domingo cacalotepec,1480.0,1480.0,1480.0,149
Unknown,1830.9876708757638,"ethiopia, sidamo",1800.0,1800.0,1800.0,150
kerchanshe,1830.9876708757638,sidamo,1800.0,1800.0,1800.0,151
las cuchillas,1830.9876708757638,comayagua,1500.0,1500.0,1500.0,152
finca los cerros y anexos,1830.9876708757638,huehuetenango,1658.112,1755.648,1706.88,153
Unknown,1830.9876708757638,huila,1600.0,1600.0,1600.0,154
Unknown,1830.9876708757638,santander,1450.0,1450.0,1450.0,155
Unknown,1830.9876708757638,sidamo,1550.0,1550.0,1550.0,156
fazenda rio verde,1830.9876708757638,south of minas,1260.0,1260.0,1260.0,157
Unknown,1830.9876708757638,blend,1200.0,1200.0,1200.0,158
doi tung development project,1830.9876708757638,thailand,1812.3495975560081,1849.6257441955195,1830.9876708757638,159
-,1830.9876708757638,central kenya,1650.0,1650.0,1650.0,160
fazenda capoeirnha,1830.9876708757638,south of minas,890.0,890.0,890.0,161
cafetal,1830.9876708757638,veracruz,1300.0,1300.0,1300.0,162
saveg coffee farm,1830.9876708757638,chiangrai,1350.0,1350.0,1350.0,163
capoeirinha,1830.9876708757638,south of minas,934.0,934.0,934.0,164
tsoustructive garden 鄒築園,1830.9876708757638,"leye, alishan township, chiayi county 嘉義阿里山樂野村",1200.0,1200.0,1200.0,165
神谷山莊園,1830.9876708757638,台中和平區,950.0,950.0,950.0,166
finca cuetzalingo,1830.9876708757638,xicotepec de juarez,900.0,900.0,900.0,167
finca sant rosa,1830.9876708757638,la concordia,1500.0,1500.0,1500.0,168
comunidad la yerbabuena,1830.9876708757638,la yerbabuena,1400.0,1400.0,1400.0,169
Unknown,1830.9876708757638,nariño,2527.0,2527.0,2527.0,170
rio verde,1830.9876708757638,south of minas,1.0,1.0,1.0,171
